tt0000001	5.6	1645
tt0000002	6.1	198
tt0000003	6.5	1342
tt0000004	6.2	120
tt0000005	6.2	2127
tt0000006	5.3	115
tt0000007	5.5	652
tt0000008	5.4	1807
tt0000009	5.9	154
tt0000010	6.9	6018
tt0000011	5.2	262
tt0000012	7.4	10287
tt0000013	5.7	1572
tt0000014	7.1	4599
tt0000015	6.1	817
tt0000016	5.9	1200
tt0000017	4.6	241
tt0000018	5.3	478
tt0000019	5.3	20
tt0000020	5.0	267
tt0000022	5.1	888
tt0000023	5.7	1141
tt0000024	4.5	51
tt0000025	4.2	29
tt0000026	5.7	1313
tt0000027	5.6	925
tt0000028	5.1	857
tt0000029	5.9	2850
tt0000030	5.2	687
tt0000031	5.5	837
tt0000032	5.1	338
tt0000033	5.6	856
tt0000034	5.3	128
tt0000035	5.6	59
tt0000036	4.4	491
tt0000037	4.7	43
tt0000038	4.1	148
tt0000039	3.7	15
tt0000040	4.3	40
tt0000041	6.6	1422
tt0000042	4.8	24
tt0000043	4.0	15
tt0000044	4.7	30
tt0000045	4.9	19
tt0000046	4.6	19
tt0000047	4.0	18
tt0000048	4.8	128
tt0000049	5.4	25
tt0000050	4.5	16
tt0000051	4.2	17
tt0000052	4.6	60
tt0000053	2.8	9
tt0000054	5.4	21
tt0000055	4.1	18
tt0000056	3.5	12
tt0000057	4.7	17
tt0000058	4.6	16
tt0000059	4.0	16
tt0000060	7.6	62
tt0000061	4.1	14
tt0000062	6.5	159
tt0000063	3.9	15
tt0000064	3.6	15
tt0000065	3.9	15
tt0000066	3.9	15
tt0000067	5.9	43
tt0000068	4.1	14
tt0000069	4.8	351
tt0000070	6.4	2263
tt0000071	4.0	17
tt0000072	4.5	16
tt0000073	4.0	14
tt0000074	4.5	17
tt0000075	6.3	1561
tt0000076	4.5	430
tt0000077	5.1	20
tt0000078	4.2	49
tt0000079	4.6	19
tt0000080	4.3	15
tt0000081	4.4	16
tt0000082	4.8	25
tt0000083	5.0	20
tt0000084	4.7	17
tt0000085	5.1	18
tt0000086	4.4	16
tt0000087	5.0	20
tt0000088	5.1	17
tt0000089	6.2	831
tt0000090	4.4	16
tt0000091	6.7	2775
tt0000092	4.9	14
tt0000093	4.9	66
tt0000094	4.6	15
tt0000095	5.0	22
tt0000096	4.6	13
tt0000097	5.3	19
tt0000098	5.7	21
tt0000099	4.9	16
tt0000100	5.2	34
tt0000101	5.1	14
tt0000102	5.0	15
tt0000103	6.1	17
tt0000104	5.5	386
tt0000105	5.7	15
tt0000106	5.2	13
tt0000107	5.8	15
tt0000108	4.4	442
tt0000109	4.5	436
tt0000110	4.4	439
tt0000111	4.5	448
tt0000112	4.5	437
tt0000113	4.4	451
tt0000114	5.8	16
tt0000115	5.2	19
tt0000116	5.8	16
tt0000117	5.1	118
tt0000118	5.9	17
tt0000119	5.8	30
tt0000120	5.7	30
tt0000121	4.6	49
tt0000122	5.8	16
tt0000123	5.8	74
tt0000124	5.9	17
tt0000125	5.0	8
tt0000126	6.0	18
tt0000127	4.9	15
tt0000128	6.1	26
tt0000129	6.8	37
tt0000130	5.8	17
tt0000131	5.8	1079
tt0000132	5.1	869
tt0000133	6.5	24
tt0000134	4.6	8
tt0000135	6.7	52
tt0000137	4.8	12
tt0000138	6.5	852
tt0000139	5.4	16
tt0000140	5.0	222
tt0000141	5.3	61
tt0000142	5.0	11
tt0000143	4.9	198
tt0000144	5.2	223
tt0000145	3.9	7
tt0000146	5.1	14
tt0000147	5.2	356
tt0000148	3.6	7
tt0000149	5.1	12
tt0000150	5.2	112
tt0000151	5.4	32
tt0000152	6.1	180
tt0000153	5.7	330
tt0000154	4.6	8
tt0000155	5.3	15
tt0000156	4.6	13
tt0000157	4.1	8
tt0000158	3.5	8
tt0000159	5.3	70
tt0000160	5.2	9
tt0000161	3.9	8
tt0000162	5.3	395
tt0000163	4.5	6
tt0000164	5.0	227
tt0000165	5.1	89
tt0000166	4.1	7
tt0000167	4.2	100
tt0000168	3.4	7
tt0000169	4.1	17
tt0000170	5.2	181
tt0000171	5.0	5
tt0000172	6.1	667
tt0000173	4.6	17
tt0000174	4.7	105
tt0000175	5.0	163
tt0000176	5.8	5
tt0000177	4.6	187
tt0000178	5.3	96
tt0000179	4.6	24
tt0000181	6.7	36
tt0000182	4.9	468
tt0000183	6.2	18
tt0000184	4.8	257
tt0000186	4.3	12
tt0000187	5.3	34
tt0000188	5.0	5
tt0000190	5.1	114
tt0000192	4.4	132
tt0000194	5.4	65
tt0000196	5.3	19
tt0000197	4.7	10
tt0000198	4.8	9
tt0000199	5.0	5
tt0000204	5.7	6
tt0000205	5.3	19
tt0000206	4.8	6
tt0000207	6.4	5
tt0000208	5.7	466
tt0000209	4.9	17
tt0000210	5.3	18
tt0000211	7.5	3332
tt0000213	4.5	183
tt0000214	4.6	59
tt0000215	4.3	99
tt0000218	5.9	499
tt0000219	6.7	23
tt0000222	4.6	185
tt0000223	5.4	11
tt0000225	5.1	18
tt0000228	4.8	218
tt0000229	4.5	80
tt0000230	6.5	1337
tt0000231	3.5	8
tt0000234	6.1	38
tt0000235	6.2	561
tt0000239	5.4	188
tt0000240	4.3	50
tt0000242	6.4	900
tt0000245	6.1	25
tt0000246	6.4	903
tt0000247	4.9	403
tt0000248	6.0	1319
tt0000251	5.5	90
tt0000253	4.6	18
tt0000256	4.6	126
tt0000261	5.7	48
tt0000264	5.7	354
tt0000265	4.6	99
tt0000269	5.1	97
tt0000271	7.3	6
tt0000272	5.6	680
tt0000273	5.5	479
tt0000274	5.6	187
tt0000276	7.6	8
tt0000277	6.3	47
tt0000278	6.3	6
tt0000279	4.8	6
tt0000280	5.2	6
tt0000281	5.3	7
tt0000283	6.3	11
tt0000284	5.3	177
tt0000285	5.3	7
tt0000286	5.7	174
tt0000287	5.0	119
tt0000288	5.4	158
tt0000292	5.4	66
tt0000296	5.8	205
